"a","b","sigma1","Scenario"
0.918076407936675,4.15080068915808,0.903239714492032,"Scenario 2 (a=0.9, b=5, sig=1)"
0.874817825184816,6.21819865792072,0.865063960188259,"Scenario 2 (a=0.9, b=5, sig=1)"
0.884309160680513,5.6688368751872,0.9209392645768,"Scenario 2 (a=0.9, b=5, sig=1)"
0.896811934272646,4.98657206623191,1.25966910063741,"Scenario 2 (a=0.9, b=5, sig=1)"
0.913582784501681,4.48498227410552,1.07025962873148,"Scenario 2 (a=0.9, b=5, sig=1)"
0.91674331686914,4.17495867454873,1.15181899084198,"Scenario 2 (a=0.9, b=5, sig=1)"
0.889219273428813,5.37830248124424,1.21393323971689,"Scenario 2 (a=0.9, b=5, sig=1)"
0.898627318339349,5.20954441167013,1.22174347619633,"Scenario 2 (a=0.9, b=5, sig=1)"
0.880892007403252,5.99821523770608,0.971191879172955,"Scenario 2 (a=0.9, b=5, sig=1)"
0.901746012507456,5.03189996570804,1.22515208233225,"Scenario 2 (a=0.9, b=5, sig=1)"
0.906646532334897,4.60950474595381,0.997384710273024,"Scenario 2 (a=0.9, b=5, sig=1)"
0.91473592983488,4.40928411608757,0.945265135460035,"Scenario 2 (a=0.9, b=5, sig=1)"
0.902635677776135,4.85381751118433,1.03758868199951,"Scenario 2 (a=0.9, b=5, sig=1)"
0.894044530019764,5.13633651063986,1.1596370831433,"Scenario 2 (a=0.9, b=5, sig=1)"
0.891554571969036,5.33336570819211,1.01937294841567,"Scenario 2 (a=0.9, b=5, sig=1)"
0.895493162490522,5.15289166163732,1.16130336458353,"Scenario 2 (a=0.9, b=5, sig=1)"
0.895203987805958,5.23394055424697,0.972745412033659,"Scenario 2 (a=0.9, b=5, sig=1)"
0.894914982080366,5.17968134363513,0.645619666737468,"Scenario 2 (a=0.9, b=5, sig=1)"
0.903575131094042,4.89634980722959,0.750129022914326,"Scenario 2 (a=0.9, b=5, sig=1)"
0.885611853389392,5.8569469979771,0.961251851079906,"Scenario 2 (a=0.9, b=5, sig=1)"
0.889137077092356,5.55243935600565,0.994341531837186,"Scenario 2 (a=0.9, b=5, sig=1)"
0.87652232760851,6.38041505673582,1.33305079907931,"Scenario 2 (a=0.9, b=5, sig=1)"
0.900646928092368,5.02893402067722,0.971922603464234,"Scenario 2 (a=0.9, b=5, sig=1)"
0.911864549382246,4.44137095753171,0.819964897988433,"Scenario 2 (a=0.9, b=5, sig=1)"
0.89328890756196,5.27063308508105,1.15342111649986,"Scenario 2 (a=0.9, b=5, sig=1)"
0.896171437214526,5.20027087502215,0.88026667214927,"Scenario 2 (a=0.9, b=5, sig=1)"
0.909275305312221,4.57069408265559,1.16761626491767,"Scenario 2 (a=0.9, b=5, sig=1)"
0.876123031692024,6.15888288786675,0.984463684075357,"Scenario 2 (a=0.9, b=5, sig=1)"
0.898814829971427,5.14707913590247,1.0956764189515,"Scenario 2 (a=0.9, b=5, sig=1)"
0.883332076244576,5.87479245803273,1.02198640050164,"Scenario 2 (a=0.9, b=5, sig=1)"
0.901779685412397,4.74524256786634,0.723911626682904,"Scenario 2 (a=0.9, b=5, sig=1)"
0.910390908548166,4.59436660562733,0.670467497724088,"Scenario 2 (a=0.9, b=5, sig=1)"
0.904318602390807,4.82272311936017,0.949043551619189,"Scenario 2 (a=0.9, b=5, sig=1)"
0.88969438125283,5.34370590098017,1.22026328476389,"Scenario 2 (a=0.9, b=5, sig=1)"
0.90622202799813,4.87876767223678,0.929214063553767,"Scenario 2 (a=0.9, b=5, sig=1)"
0.902085384570521,4.70977373653316,1.14777679769428,"Scenario 2 (a=0.9, b=5, sig=1)"
0.902203549414967,4.72743714621212,0.891529044565037,"Scenario 2 (a=0.9, b=5, sig=1)"
0.894554607162535,5.14131434939024,0.839466013402736,"Scenario 2 (a=0.9, b=5, sig=1)"
0.908859127255026,4.52714166976669,0.78206284224761,"Scenario 2 (a=0.9, b=5, sig=1)"
0.891046034064571,5.26457423386463,0.941669228484839,"Scenario 2 (a=0.9, b=5, sig=1)"
0.905296280856589,4.77867765342182,1.05517402389771,"Scenario 2 (a=0.9, b=5, sig=1)"
0.86710040990712,6.26688371089261,0.969664348220977,"Scenario 2 (a=0.9, b=5, sig=1)"
