"Time","True_State","Observation","Predicted_State_Mean","Predicted_State_Var","CI_Lower_95","CI_Upper_95","Filtered_State_Mean","Filtered_State_Var","Innovation","Innovation_Var"
52,13.2175599321276,12.5507865233698,10.6459103408432,1.48389990267865,8.25832790956882,13.0334927721177,11.783897253608,0.597407287257593,1.90487618252657,2.48389990267865
53,13.0013177513709,12.5790618695021,11.6055075282472,1.48389990267865,9.21792509697282,13.9930899595217,12.1871159862542,0.597407287257593,0.973554341254845,2.48389990267865
54,12.5788358042789,12.7670288387804,11.9684043876287,1.48389990267865,9.58082195635431,14.3559868189032,12.4455084545288,0.597407287257593,0.798624451151637,2.48389990267865
55,12.440113181848,12.4150206309806,12.2009576090759,1.48389990267865,9.81337517780151,14.5885400403504,12.3288404182942,0.597407287257593,0.214063021904655,2.48389990267865
56,12.3041745916052,11.8187393557586,12.0959563764647,1.48389990267865,9.70837394519032,14.4835388077392,11.930344908143,0.597407287257593,-0.277217020706184,2.48389990267865
57,11.5695400017568,9.90844092184199,11.7373104173287,1.48389990267865,9.3497279860543,14.1248928486032,10.6447304532818,0.597407287257593,-1.82886949548674,2.48389990267865
58,11.0302522747073,10.5176020168295,10.5802574079537,1.48389990267865,8.19267497667922,12.9678398392281,10.5428266207101,0.597407287257593,-0.0626553911241459,2.48389990267865
59,13.6291180475814,12.2670018163917,10.4885439586391,1.48389990267865,8.10096152736467,12.8761263899135,11.551007642941,0.597407287257593,1.77845785775255,2.48389990267865
60,13.4034624613818,11.9098373940656,11.3959068786469,1.48389990267865,9.00832444737248,13.7834893099213,11.7029327137021,0.597407287257593,0.513930515418648,2.48389990267865
61,11.5926804738069,11.7173828600039,11.5326394423318,1.48389990267865,9.14505701105742,13.9202218736063,11.643006506322,0.597407287257593,0.184743417672019,2.48389990267865
62,10.4367732915421,10.4349506772374,11.4787058556898,1.48389990267865,9.09112342441536,13.8662882869642,10.8551589059695,0.597407287257593,-1.04375517845236,2.48389990267865
63,9.96483708096211,9.35116547451261,10.7696430153726,1.48389990267865,8.38206058409813,13.157225446647,9.9222341956516,0.597407287257593,-1.41847754085994,2.48389990267865
64,7.94367552744679,6.7189275770868,9.93001077608644,1.48389990267865,7.54242834481201,12.3175932073609,8.01168627301364,0.597407287257593,-3.21108319899963,2.48389990267865
65,8.32882441582005,8.89644501024359,8.21051764571227,1.48389990267865,5.82293521443785,10.5981000769867,8.62029565181267,0.597407287257593,0.685927364531313,2.48389990267865
