"a","b","sigma1","nu"
0.818703383203703,1.33438497766476,1.17469514719707,"nu = 100"
0.770241091392962,2.50540719925925,1.25564879269402,"nu = 100"
0.948504127547571,0.562973807518415,0.733517129127504,"nu = 100"
0.890100314382233,1.15465149834974,0.969975417760406,"nu = 100"
0.873191372142986,1.51007190195978,1.1585701500016,"nu = 100"
0.865873068125845,1.38452500032157,1.20381899020306,"nu = 100"
0.873382229153361,1.18054256771448,1.12933065750011,"nu = 100"
0.892829646484209,1.16718613978047,0.88114833842251,"nu = 100"
0.938597889152346,0.704802132264885,0.890600393728409,"nu = 100"
0.83530918271304,1.60885018304319,1.01207781269677,"nu = 100"
0.850197137888556,1.65612795045053,0.982362392443083,"nu = 100"
0.841554477620037,1.35999762292468,1.13201678344196,"nu = 100"
0.903554159948707,0.979771074116881,1.13850289152019,"nu = 100"
0.899522211980949,1.07438372658059,1.11861798106835,"nu = 100"
0.859367598386962,1.29916727524456,1.01101479413765,"nu = 100"
0.763285790253671,2.27482591559398,1.06382954178506,"nu = 100"
0.817263624626235,1.83872325056631,0.931791339761609,"nu = 100"
0.85354208110844,1.44746946363099,0.997459528067379,"nu = 100"
0.887814363545239,1.26224938887686,1.01758953559102,"nu = 100"
0.818137949935191,1.92729420248062,1.08159503482322,"nu = 100"
0.873327383170065,1.26294275147916,0.801177202179113,"nu = 100"
0.672520561777901,3.1479892534022,0.906676333284425,"nu = 100"
0.82572346798102,1.88871560291696,1.30187645491442,"nu = 100"
0.888316920016499,1.02877422065441,0.8755216069152,"nu = 100"
0.846236348346145,1.69720664515914,1.00032671279247,"nu = 100"
0.878298005792173,1.14502456501518,1.12821156331007,"nu = 100"
0.769065687834003,2.43862882187734,1.48438808171811,"nu = 100"
0.845475280090573,1.52982503852646,1.13133026041125,"nu = 100"
0.782754380883242,2.60983622546914,1.21680143628226,"nu = 100"
0.901829641115999,0.987676865364513,0.911001232200135,"nu = 100"
0.803232378428109,2.00417935711304,0.94133937663527,"nu = 100"
0.90166853318319,1.23451846445421,1.1405705111769,"nu = 100"
0.838612173995489,1.71305584058192,0.928810276417165,"nu = 100"
0.79784797598465,2.4292859339173,1.10977364798398,"nu = 100"
0.814622272197349,1.87623023616823,1.10510378415136,"nu = 100"
0.875369933931823,1.20880034215431,0.774228283743898,"nu = 100"
0.785669070705471,2.09259119916628,0.918755635335931,"nu = 100"
0.810246063244889,1.83206518995018,0.999339721780264,"nu = 100"
0.906922467303152,1.12642554057744,1.09726249308589,"nu = 100"
0.944466796985843,0.603894094511757,0.349277330954289,"nu = 100"
0.777429546040279,2.11470549684983,0.732741578174804,"nu = 100"
0.858922511708599,1.419273563191,1.03528914814588,"nu = 100"
0.838986044403685,1.65608316438178,0.954340624570515,"nu = 100"
0.792801949408606,1.8781165128559,0.852261521023488,"nu = 100"
0.846296810724866,1.53460589329882,0.999418412972114,"nu = 100"
0.928124259276926,0.786558078388783,1.00546855640091,"nu = 100"
0.805553582759895,2.14520999225495,1.10276994966254,"nu = 100"
0.757632320609998,2.12925023345509,0.987481282746109,"nu = 100"
0.867478127924678,1.28572139039984,0.81732741358637,"nu = 100"
0.894879969408543,0.996598244751525,1.07607768937344,"nu = 100"
0.867683248198207,1.22480791590635,1.1508429765477,"nu = 5"
0.917239451394917,0.905397768685003,1.07692023066242,"nu = 5"
0.879263430383574,1.15818372325452,1.2965389473003,"nu = 5"
0.860956651207622,1.65229334667078,1.139666506843,"nu = 5"
0.841333320955199,1.51148765662693,1.29170257665542,"nu = 5"
0.90696233308828,0.879963817940048,1.24502195301002,"nu = 5"
0.800458702573395,2.20528862852554,1.48151939562773,"nu = 5"
0.86957405411453,1.4064612536186,1.42692345254773,"nu = 5"
0.840552555449636,1.86375575344894,1.12553585718047,"nu = 5"
0.86668946150364,1.35464449928617,1.53969021412938,"nu = 5"
0.904803727661986,0.93380518841697,1.30994001927149,"nu = 5"
0.895040811611368,1.12750720025962,1.2105158553257,"nu = 5"
0.907937796839448,0.795721011363696,1.15432586966697,"nu = 5"
0.927753949123564,0.865408863750549,1.51185073090674,"nu = 5"
0.716550225292069,2.27890307268833,1.74956511832223,"nu = 5"
0.815255454335624,1.63713080502841,0.865801038511558,"nu = 5"
0.906715113411998,1.02970843277694,0.878441314769442,"nu = 5"
0.937947888649301,0.627502965510849,0.947950918796393,"nu = 5"
0.831720177801358,1.60570738983628,1.65313755905945,"nu = 5"
0.860756259916677,1.15078216780784,0.858837472925111,"nu = 5"
0.755862716975299,2.46920569785852,1.08717651651133,"nu = 5"
0.76047683961152,2.44552321483862,1.30122561682053,"nu = 5"
0.742253171064357,2.26207377225089,1.33054585381775,"nu = 5"
0.779361876359374,2.10461856116395,1.35838590916961,"nu = 5"
0.831955930013959,1.35074183887402,1.13053983664445,"nu = 5"
0.889968172251715,1.24604741040225,1.38357211777284,"nu = 5"
0.853436685691277,1.35265968670634,1.38762122734973,"nu = 5"
0.877135095608897,1.22804090450252,1.34305630471392,"nu = 5"
0.860571145018828,1.60859385241716,1.577081504281,"nu = 5"
0.944745930828658,0.597071103923989,1.33750186993782,"nu = 5"
0.89617692553471,0.874201586018372,1.12596577147421,"nu = 5"
0.773873299785815,2.10942669828534,1.51575114791252,"nu = 5"
0.881397818276675,1.18240418198113,1.15818055931232,"nu = 5"
0.869294012623255,1.17652570443668,1.02559261789254,"nu = 5"
0.88044714050682,1.23906740180956,1.24163349013593,"nu = 5"
0.743941149994007,2.69945480956867,1.31762935027608,"nu = 5"
0.890408400830768,1.30716693369285,1.26894165203233,"nu = 5"
0.860506055995788,1.29835155960575,1.46748527952663,"nu = 5"
0.893301761830033,0.824965019326337,1.00062546422403,"nu = 5"
0.891664227777531,1.21629901577633,1.31789066669854,"nu = 5"
0.907178363884874,0.849540846962738,1.12829639763806,"nu = 5"
0.880802868322392,1.35462478520105,1.27726548888989,"nu = 5"
0.947247385139429,0.483666825423152,1.03607600079651,"nu = 5"
0.702044108929683,3.12295049441116,1.25961767693031,"nu = 5"
0.803751751844843,1.87149282299462,1.33487638612563,"nu = 5"
0.871880776860036,1.61531745617634,1.4191525300358,"nu = 5"
0.878814359139167,1.17404364864154,1.45503047426494,"nu = 5"
0.91894975967207,0.879273654198012,1.18480453136161,"nu = 5"
0.862530127010348,1.40144852427035,1.16695122556275,"nu = 5"
0.93042934645361,0.53586115332854,1.12184596570091,"nu = 5"
0.740948600769606,2.26050505725094,1.2076236303624,"nu = 5"
0.790936908736584,2.73874636698947,1.20362281477034,"nu = 5"
0.791393469799421,1.70507072397502,1.51718302195103,"nu = 5"
0.783071076957913,2.33360729142861,1.60784654347873,"nu = 5"
0.878001364773185,1.26040113744269,1.55055215323337,"nu = 5"
0.908136392136159,1.14527117739251,1.409637084159,"nu = 5"
0.829884467588057,1.77808753465323,1.05429079776956,"nu = 5"
0.831065636768983,1.25900068229532,1.40992327133403,"nu = 5"
0.822690780283557,1.72154795214322,1.42549046863018,"nu = 5"
0.836896794085588,1.57298829242402,0.938017749457505,"nu = 5"
0.89117781060167,1.05727257788794,1.18903409508493,"nu = 5"
0.810586133665392,1.71949214859847,1.49287979107711,"nu = 5"
0.810987540407294,1.73127221447932,1.13658300716045,"nu = 5"
0.895080778356308,0.939436588462552,1.58966524258188,"nu = 5"
0.861188135910744,1.41529191506633,1.31684456358199,"nu = 5"
0.879522289580277,1.40686448123041,1.17911914130547,"nu = 5"
0.75087126357686,2.22531728657029,1.51720878897464,"nu = 5"
0.805972664738972,1.88210420113698,1.3766952643301,"nu = 5"
0.920580178292346,0.741631665570909,1.08705654698025,"nu = 5"
0.915964133936602,0.899454285481077,1.17729478192428,"nu = 5"
0.890598145543182,1.17101577234017,1.43326553182493,"nu = 5"
0.890974243791135,1.0428530098355,1.07923369367583,"nu = 5"
0.868197008280569,1.37933841316688,1.55100993802684,"nu = 5"
0.820007805940036,1.89444973493865,1.00373294217856,"nu = 5"
0.914308088796447,0.791795236771929,1.30621867799153,"nu = 5"
-0.887427147044949,18.9343303402589,0.001,"nu = 5"
0.880478077719801,1.21165197478282,1.20980959869385,"nu = 5"
0.90415423251335,0.873358929997338,1.22917611189485,"nu = 5"
0.861916273211926,1.4474984824527,1.17074181596914,"nu = 5"
0.818407309902513,1.47840831141858,1.25421904109898,"nu = 5"
0.813744606366627,1.68736188247513,1.25247617744401,"nu = 5"
0.811254886500931,1.90775505469551,1.29828999504808,"nu = 5"
0.889271482358732,1.32365141376524,1.39533137176556,"nu = 5"
0.915023739674886,0.948989154182585,1.20440516036127,"nu = 5"
0.865294368524455,1.16186235401831,1.3726929344895,"nu = 5"
0.883569544422188,1.44859628994508,1.26183740404418,"nu = 5"
0.835343745661017,1.90839310517751,1.27700777758741,"nu = 5"
0.738935186347496,2.60721856985352,1.13877788445486,"nu = 5"
0.830597890047483,1.25958855467129,1.36115106641988,"nu = 5"
0.870100141177085,1.18049602931833,1.2398808076633,"nu = 5"
0.801072349326214,1.96891804245976,1.38800366468523,"nu = 5"
0.818587333763466,1.61462849531234,1.2040363204702,"nu = 5"
0.868690963134167,1.61817980654485,1.10524757580002,"nu = 5"
0.933374998313042,0.682045964262754,1.06048212363299,"nu = 5"
0.862040010952537,1.5594500323198,1.30750471361074,"nu = 5"
0.823522636203851,1.86241842014912,1.60919609035134,"nu = 5"
0.900220133506873,1.12201541022402,1.03576538687011,"nu = 5"
0.760354400888815,2.05436377094722,1.53056531896145,"nu = 5"
0.850277665955869,1.41593514299039,1.42329822836396,"nu = 5"
0.812797367492398,1.77369503280486,1.53221823546385,"nu = 5"
0.899727530046328,1.4985526202802,3.15077581921704,"nu = 2"
0.77725624141816,2.15171153141505,2.56895162757024,"nu = 2"
0.731946309034068,2.48150972424657,2.1664026633001,"nu = 2"
0.868864113063403,1.60090800224153,1.54898347027419,"nu = 2"
0.903170480834451,1.16391171317526,1.8120004656766,"nu = 2"
0.784644218952166,3.25095397610526,4.34556528025191,"nu = 2"
0.893975198682048,0.829617021203081,2.29605843194145,"nu = 2"
0.853844971765633,1.2121833233049,1.39011547612839,"nu = 2"
0.894850598269992,0.747968626670532,2.21760225734182,"nu = 2"
0.891784505896749,1.05900153732783,2.94834234561774,"nu = 2"
0.883802028823139,1.93921418890919,2.89602721429057,"nu = 2"
0.882771091510385,1.37587476193197,2.47333472503366,"nu = 2"
0.831737437117206,2.44190438394058,4.88988943488921,"nu = 2"
0.890729539629862,0.896595657620264,2.29513134762162,"nu = 2"
0.919079469616949,0.289038270227435,2.89898411327862,"nu = 2"
